name,handedness,height (inches),weight(pounds),avg,avg_group,HR
Tom Hutton,left-handed,71,180,0.248,0.25,22
Ron Hodges,left-handed,73,185,0.24,0.24,19
Rich Chiles,left-handed,71,170,0.254,0.26,6
Tom Paciorek,right-handed,76,215,0.282,0.29,86
Gary Woods,right-handed,74,185,0.243,0.25,13
Bob Montgomery,right-handed,73,195,0.258,0.26,23
Jeff Burroughs,right-handed,73,200,0.261,0.27,240
Rusty Staub,left-handed,74,190,0.279,0.28,292
Jim Norris,left-handed,70,175,0.264,0.27,7
Oscar Gamble,left-handed,71,160,0.265,0.27,200
Bob Kammeyer,right-handed,76,210,0,0,0
George Vukovich,left-handed,72,198,0.268,0.27,27
Joe Pactwa,left-handed,71,185,0,0,0
Craig Reynolds,left-handed,73,175,0.256,0.26,42
Paul Blair,right-handed,72,168,0.25,0.25,134
Al Cowens,right-handed,73,197,0.27,0.27,108
Al Oliver,left-handed,72,195,0.303,0.31,219
Dave Hilton,right-handed,71,191,0.213,0.22,6
Luis Alvarado,right-handed,69,162,0.214,0.22,5
Larry Parrish,right-handed,75,190,0.263,0.27,256
Woodie Fryman,right-handed,75,197,0.138,0.14,2
Bob Randall,right-handed,74,175,0.257,0.26,1
Jim Pankovits,right-handed,70,170,0.25,0.25,9
Sherman Corbett,left-handed,76,205,0,0,0
Carmen Fanzone,right-handed,72,200,0.224,0.23,20
Gary Allenson,right-handed,71,185,0.221,0.23,19
Milt May,left-handed,72,190,0.263,0.27,77
Mike Vail,right-handed,73,180,0.279,0.28,34
Nick Esasky,right-handed,75,200,0.25,0.25,122
Jim Nettles,left-handed,72,186,0.22,0.22,16
Lafayette Currence,both-handed,71,175,0,0,0
Chris Cannizzaro,right-handed,72,190,0.235,0.24,18
Larry Biittner,left-handed,74,205,0.273,0.28,29
John Pawlowski,right-handed,74,175,0,0,0
Mel Stottlemyre,right-handed,73,178,0.16,0.16,7
Jack Hardy,right-handed,74,175,0,0,0
Ron Musselman,right-handed,74,185,0,0,0
Roy Smalley,both-handed,73,185,0.257,0.26,163
Tony Chevez,right-handed,71,177,0,0,0
Andy Messersmith,right-handed,73,200,0.17,0.17,5
Richie Zisk,right-handed,73,200,0.287,0.29,207
Dave Chalk,right-handed,70,175,0.252,0.26,15
Don Baylor,right-handed,73,190,0.26,0.26,338
John Vukovich,right-handed,73,187,0.161,0.17,6
Danny Thompson,right-handed,72,183,0.248,0.25,15
Joe Simpson,left-handed,75,175,0.242,0.25,9
Bill Fahey,left-handed,72,200,0.241,0.25,7
Doug Camilli,right-handed,71,195,0.199,0.2,18
Bernie Allen,left-handed,72,175,0.239,0.24,73
Bruce Bochy,right-handed,75,205,0.239,0.24,26
Gary Ignasiak,right-handed,71,185,0,0,0
Claudell Washington,left-handed,72,190,0.278,0.28,164
John Donaldson,left-handed,71,160,0.238,0.24,4
Mike Smithson,left-handed,80,215,0,0,0
John Mayberry,left-handed,75,215,0.253,0.26,255
Ken Reitz,right-handed,72,180,0.26,0.26,68
Amos Otis,right-handed,71,165,0.277,0.28,193
Gene Alley,right-handed,70,160,0.254,0.26,55
Ted Sizemore,right-handed,70,165,0.262,0.27,23
Dan Briggs,left-handed,72,180,0.195,0.2,12
Joe Skalski,right-handed,75,190,0,0,0
Doug Flynn,right-handed,71,165,0.238,0.24,7
Bert Bradley,both-handed,73,190,0,0,0
Ken Holtzman,right-handed,74,175,0.163,0.17,2
Pete Ward,left-handed,73,185,0.254,0.26,98
Kevin Bell,right-handed,72,195,0.222,0.23,13
Tom Nieto,right-handed,73,193,0.205,0.21,5
Duke Sims,left-handed,74,197,0.239,0.24,100
Larvell Blanks,right-handed,68,167,0.253,0.26,20
Francisco Barrios,right-handed,71,155,0,0,0
Mike Davis,left-handed,74,175,0.259,0.26,91
Jerry Reuss,left-handed,77,200,0.167,0.17,1
Steve Yeager,right-handed,72,190,0.228,0.23,102
Danny Goodwin,left-handed,73,195,0.236,0.24,13
Bud Harrelson,both-handed,71,160,0.236,0.24,7
Bob Knepper,left-handed,75,195,0.137,0.14,6
Mickey Rivers,left-handed,70,165,0.295,0.3,61
Jim Northrup,left-handed,75,190,0.267,0.27,153
John Hale,left-handed,74,195,0.201,0.21,14
Reggie Ritter,left-handed,74,195,0,0,0
Pedro Garcia,right-handed,70,175,0.22,0.22,37
Carl Yastrzemski,left-handed,71,175,0.285,0.29,452
Bob Babcock,right-handed,77,210,0,0,0
Craig Eaton,right-handed,71,175,0,0,0
Derrel Thomas,both-handed,72,160,0.249,0.25,43
Art Howe,right-handed,74,190,0.26,0.26,43
Ike Brown,right-handed,72,190,0.256,0.26,20
Howie Goss,right-handed,76,204,0.216,0.22,11
Glenn Borgmann,right-handed,76,210,0.229,0.23,16
Lamar Johnson,right-handed,74,215,0.287,0.29,64
Julio Gonzalez,right-handed,71,162,0.235,0.24,4
Bobby Klaus,right-handed,70,170,0.208,0.21,6
Manny Sanguillen,right-handed,72,193,0.296,0.3,65
Gates Brown,left-handed,71,220,0.257,0.26,84
Johnny Ray,both-handed,71,170,0.29,0.29,53
Jesus Alou,right-handed,74,190,0.28,0.28,32
Ken Landreaux,left-handed,70,165,0.268,0.27,91
Enos Cabell,right-handed,76,170,0.277,0.28,60
Roy Branch,right-handed,72,175,0,0,0
Billy North,both-handed,71,185,0.261,0.27,20
Juan Beniquez,right-handed,71,150,0.274,0.28,79
Frank Fernandez,right-handed,72,185,0.199,0.2,39
Bombo Rivera,right-handed,70,187,0.265,0.27,10
Steve Brye,right-handed,72,190,0.258,0.26,30
Ron Jackson,right-handed,72,200,0.259,0.26,56
Roger Metzger,both-handed,72,165,0.231,0.24,5
Rufino Linares,right-handed,72,170,0.27,0.27,11
Ray Webster,left-handed,72,185,0.244,0.25,17
Bob Kearney,right-handed,72,190,0.233,0.24,27
Fergie Jenkins,right-handed,77,205,0.165,0.17,13
Dick Dietz,right-handed,73,195,0.261,0.27,66
Ted Cox,right-handed,75,195,0.245,0.25,10
Bobby Mitchell,left-handed,70,170,0.243,0.25,3
Bobby Mitchell,right-handed,75,185,0.235,0.24,21
Barry Evans,right-handed,73,180,0.251,0.26,2
Mickey Brantley,right-handed,70,180,0.259,0.26,32
Al Gallagher,right-handed,72,180,0.263,0.27,11
Rob Woodward,right-handed,75,185,0,0,0
Hector Cruz,right-handed,71,170,0.225,0.23,39
Fred Norman,both-handed,68,155,0.125,0.13,0
Woody Woodward,right-handed,74,180,0.236,0.24,1
Ted Martinez,right-handed,72,165,0.24,0.24,7
Jim Anderson,right-handed,72,170,0.218,0.22,13
Lenn Sakata,right-handed,69,160,0.23,0.23,25
Dave Duncan,right-handed,74,190,0.214,0.22,109
Randy Jones,right-handed,72,178,0.132,0.14,0
Dick Billings,right-handed,73,195,0.227,0.23,16
Bob Veselic,right-handed,72,175,0,0,0
Bruce Bochte,left-handed,75,195,0.282,0.29,100
Bernie Carbo,left-handed,71,173,0.264,0.27,96
Vic Davalillo,left-handed,67,150,0.279,0.28,36
Burt Hooton,right-handed,73,210,0.123,0.13,4
Chuck Hockenbery,both-handed,73,195,0,0,0
Bob Ferris,right-handed,78,225,0,0,0
Fernando Gonzalez,right-handed,70,165,0.235,0.24,17
Jim Sundberg,right-handed,72,190,0.248,0.25,95
Andy Kosco,right-handed,75,205,0.236,0.24,73
Steve Huntz,both-handed,73,204,0.206,0.21,16
Gary Wheelock,right-handed,75,205,0,0,0
Lenny Faedo,right-handed,72,170,0.251,0.26,5
John Lowenstein,left-handed,72,175,0.253,0.26,116
Don Kessinger,both-handed,73,170,0.252,0.26,14
Joe Hague,left-handed,72,195,0.239,0.24,40
Bake McBride,left-handed,74,190,0.299,0.3,63
Dick Davis,right-handed,75,190,0.265,0.27,27
Richie Scheinblum,both-handed,73,180,0.263,0.27,13
Ed Herrmann,left-handed,73,195,0.24,0.24,80
Mike Rochford,left-handed,76,205,0,0,0
Jeff Schneider,both-handed,75,195,0,0,0
Bob Molinaro,left-handed,72,190,0.264,0.27,14
Mike Hegan,left-handed,73,188,0.242,0.25,53
Mike Diaz,right-handed,74,195,0.247,0.25,31
Tim Foli,right-handed,72,179,0.251,0.26,25
Alan Knicely,right-handed,72,190,0.213,0.22,12
Tim Laudner,right-handed,75,212,0.225,0.23,77
Jose Morales,right-handed,71,187,0.287,0.29,26
Luis Encarnacion,right-handed,70,178,0,0,0
Rick Kreuger,right-handed,74,185,0,0,0
Juan Marichal,right-handed,72,185,0.165,0.17,4
Vida Blue,both-handed,72,189,0.104,0.11,4
Angel Moreno,left-handed,69,165,0,0,0
Roger Weaver,right-handed,75,190,0,0,0
Stan Papi,right-handed,72,170,0.218,0.22,7
Rob Wilfong,left-handed,73,180,0.248,0.25,39
Chris Knapp,right-handed,77,195,0,0,0
Steve Henderson,right-handed,74,190,0.28,0.28,68
Rob Picciolo,right-handed,74,185,0.234,0.24,17
Don Welchel,right-handed,76,205,0,0,0
Randy Wiles,left-handed,73,185,0,0,0
Roberto Pena,right-handed,68,170,0.245,0.25,13
Bob Dernier,right-handed,72,160,0.255,0.26,23
Bill Melton,right-handed,74,200,0.253,0.26,160
Albert Hall,both-handed,71,155,0.251,0.26,5
Barbaro Garbey,right-handed,70,170,0.267,0.27,11
John Milner,left-handed,72,185,0.249,0.25,131
Rich Reese,left-handed,75,185,0.253,0.26,52
Chris Bando,both-handed,72,195,0.227,0.23,27
Bill Buckner,left-handed,72,185,0.289,0.29,174
Jack Hiatt,right-handed,74,190,0.251,0.26,22
Nelson Mathews,right-handed,76,195,0.223,0.23,22
Larry Lintz,both-handed,69,150,0.227,0.23,0
Ron Theobald,right-handed,68,165,0.248,0.25,2
Dewey Robinson,right-handed,72,180,0,0,0
Rafael Santana,right-handed,73,165,0.246,0.25,13
Jerry Hairston,both-handed,70,170,0.258,0.26,30
Tony Arnold,right-handed,71,170,0,0,0
Jeff Schattinger,left-handed,77,200,0,0,0
Ike Brookens,right-handed,77,170,0,0,0
Tommie Aaron,right-handed,75,190,0.229,0.23,13
